Trial,Event,Value,Timestamp
5,StimOn,1,2024-04-02T15:15:05.6685184+01:00
5,StimOn,0,2024-04-02T15:15:06.6524032+01:00
5,PictureID,2,2024-04-02T15:15:06.6525824+01:00
5,TrialITI,1.1,2024-04-02T15:15:06.6526592+01:00
5,StimOn,1,2024-04-02T15:15:07.7688832+01:00
5,StimOn,0,2024-04-02T15:15:08.7529472+01:00
5,PictureID,8,2024-04-02T15:15:08.7531392+01:00
5,TrialITI,1.6,2024-04-02T15:15:08.7532416+01:00
5,StimOn,1,2024-04-02T15:15:10.3859200+01:00
5,StimOn,0,2024-04-02T15:15:11.3699328+01:00
5,PictureID,0,2024-04-02T15:15:11.3700992+01:00
5,TrialITI,1.3,2024-04-02T15:15:11.3701760+01:00
5,StimOn,1,2024-04-02T15:15:12.6863616+01:00
5,StimOn,0,2024-04-02T15:15:13.6698240+01:00
5,PictureID,5,2024-04-02T15:15:13.6700032+01:00
5,TrialITI,1.5,2024-04-02T15:15:13.6701056+01:00
5,StimOn,1,2024-04-02T15:15:15.1873792+01:00
5,StimOn,0,2024-04-02T15:15:16.1868032+01:00
6,PictureID,2,2024-04-02T15:15:16.1871744+01:00
6,TrialITI,1.7,2024-04-02T15:15:16.1872512+01:00
6,StimOn,1,2024-04-02T15:15:17.9043840+01:00
6,StimOn,0,2024-04-02T15:15:18.9038208+01:00
6,PictureID,0,2024-04-02T15:15:18.9040384+01:00
6,TrialITI,1.4,2024-04-02T15:15:18.9041280+01:00
6,StimOn,1,2024-04-02T15:15:20.3047424+01:00
6,StimOn,0,2024-04-02T15:15:21.3041152+01:00
6,PictureID,7,2024-04-02T15:15:21.3042816+01:00
6,TrialITI,1.7,2024-04-02T15:15:21.3043712+01:00
6,StimOn,1,2024-04-02T15:15:23.0217728+01:00
6,StimOn,0,2024-04-02T15:15:24.0211200+01:00
6,PictureID,1,2024-04-02T15:15:24.0212992+01:00
6,TrialITI,1.9,2024-04-02T15:15:24.0213888+01:00
6,StimOn,1,2024-04-02T15:15:25.9388928+01:00
6,StimOn,0,2024-04-02T15:15:26.9381504+01:00
6,PictureID,4,2024-04-02T15:15:26.9383296+01:00
6,TrialITI,1.8,2024-04-02T15:15:26.9384064+01:00
6,StimOn,1,2024-04-02T15:15:28.7559424+01:00
6,StimOn,0,2024-04-02T15:15:29.7551616+01:00
6,PictureID,9,2024-04-02T15:15:29.7553408+01:00
6,TrialITI,1,2024-04-02T15:15:29.7554304+01:00
6,StimOn,1,2024-04-02T15:15:30.7562112+01:00
6,StimOn,0,2024-04-02T15:15:31.7554048+01:00
6,PictureID,5,2024-04-02T15:15:31.7555840+01:00
6,TrialITI,1.9,2024-04-02T15:15:31.7568384+01:00
6,StimOn,1,2024-04-02T15:15:33.6738944+01:00
6,StimOn,0,2024-04-02T15:15:34.6724352+01:00
6,PictureID,6,2024-04-02T15:15:34.6726272+01:00
6,TrialITI,1.3,2024-04-02T15:15:34.6727040+01:00
6,StimOn,1,2024-04-02T15:15:35.9744640+01:00
6,StimOn,0,2024-04-02T15:15:36.9727360+01:00
6,PictureID,3,2024-04-02T15:15:36.9729664+01:00
6,TrialITI,1.9,2024-04-02T15:15:36.9730688+01:00
6,StimOn,1,2024-04-02T15:15:38.8915584+01:00
6,StimOn,0,2024-04-02T15:15:39.8897664+01:00
6,PictureID,8,2024-04-02T15:15:39.8899840+01:00
6,TrialITI,1.5,2024-04-02T15:15:39.8900736+01:00
6,StimOn,1,2024-04-02T15:15:41.4086528+01:00
6,StimOn,0,2024-04-02T15:15:42.4067328+01:00
7,PictureID,0,2024-04-02T15:15:42.4070912+01:00
7,TrialITI,1.4,2024-04-02T15:15:42.4071680+01:00
7,StimOn,1,2024-04-02T15:15:43.8095360+01:00
7,StimOn,0,2024-04-02T15:15:44.8070400+01:00
7,PictureID,9,2024-04-02T15:15:44.8072064+01:00
7,TrialITI,1.1,2024-04-02T15:15:44.8072960+01:00
7,StimOn,1,2024-04-02T15:15:45.9098112+01:00
7,StimOn,0,2024-04-02T15:15:46.9073152+01:00
7,PictureID,5,2024-04-02T15:15:46.9075840+01:00
7,TrialITI,1.4,2024-04-02T15:15:46.9076992+01:00
7,StimOn,1,2024-04-02T15:15:48.3102080+01:00
7,StimOn,0,2024-04-02T15:15:49.3075968+01:00
7,PictureID,4,2024-04-02T15:15:49.3077760+01:00
7,TrialITI,1.5,2024-04-02T15:15:49.3078528+01:00
7,StimOn,1,2024-04-02T15:15:50.8272256+01:00
7,StimOn,0,2024-04-02T15:15:51.8245760+01:00
7,PictureID,2,2024-04-02T15:15:51.8247424+01:00
7,TrialITI,1.1,2024-04-02T15:15:51.8248320+01:00
7,StimOn,1,2024-04-02T15:15:52.9275008+01:00
7,StimOn,0,2024-04-02T15:15:53.9248384+01:00
7,PictureID,6,2024-04-02T15:15:53.9250560+01:00
7,TrialITI,1.7,2024-04-02T15:15:53.9251584+01:00
7,StimOn,1,2024-04-02T15:15:55.6445568+01:00
7,StimOn,0,2024-04-02T15:15:56.6418432+01:00
7,PictureID,8,2024-04-02T15:15:56.6420096+01:00
7,TrialITI,1.2,2024-04-02T15:15:56.6420864+01:00
7,StimOn,1,2024-04-02T15:15:57.8449408+01:00
7,StimOn,0,2024-04-02T15:15:58.8421248+01:00
7,PictureID,3,2024-04-02T15:15:58.8423168+01:00
7,TrialITI,1.2,2024-04-02T15:15:58.8424064+01:00
7,StimOn,1,2024-04-02T15:16:00.0460800+01:00
7,StimOn,0,2024-04-02T15:16:01.0424064+01:00
7,PictureID,7,2024-04-02T15:16:01.0426112+01:00
7,TrialITI,1.2,2024-04-02T15:16:01.0427008+01:00
7,StimOn,1,2024-04-02T15:16:02.2472704+01:00
7,StimOn,0,2024-04-02T15:16:03.2426752+01:00
7,PictureID,1,2024-04-02T15:16:03.2428544+01:00
7,TrialITI,1.1,2024-04-02T15:16:03.2429440+01:00
7,StimOn,1,2024-04-02T15:16:04.3486848+01:00
7,StimOn,0,2024-04-02T15:16:05.3429376+01:00
8,PictureID,6,2024-04-02T15:16:05.3433088+01:00
8,TrialITI,1,2024-04-02T15:16:05.3433984+01:00
8,StimOn,1,2024-04-02T15:16:06.3490304+01:00
8,StimOn,0,2024-04-02T15:16:07.3431808+01:00
8,PictureID,7,2024-04-02T15:16:07.3433856+01:00
8,TrialITI,2,2024-04-02T15:16:07.3435008+01:00
8,StimOn,1,2024-04-02T15:16:09.3664640+01:00
8,StimOn,0,2024-04-02T15:16:10.3602176+01:00
8,PictureID,3,2024-04-02T15:16:10.3603840+01:00
8,TrialITI,1,2024-04-02T15:16:10.3604736+01:00
8,StimOn,1,2024-04-02T15:16:11.3670400+01:00
8,StimOn,0,2024-04-02T15:16:12.3604736+01:00
8,PictureID,4,2024-04-02T15:16:12.3606528+01:00
8,TrialITI,1.6,2024-04-02T15:16:12.3607424+01:00
8,StimOn,1,2024-04-02T15:16:13.9842944+01:00
8,StimOn,0,2024-04-02T15:16:14.9776640+01:00
8,PictureID,1,2024-04-02T15:16:14.9781632+01:00
8,TrialITI,1.2,2024-04-02T15:16:14.9782528+01:00
8,StimOn,1,2024-04-02T15:16:16.1847040+01:00
8,StimOn,0,2024-04-02T15:16:17.1777408+01:00
8,PictureID,5,2024-04-02T15:16:17.1779328+01:00
8,TrialITI,2,2024-04-02T15:16:17.1780224+01:00
8,StimOn,1,2024-04-02T15:16:19.2017920+01:00
8,StimOn,0,2024-04-02T15:16:20.1947904+01:00
8,PictureID,8,2024-04-02T15:16:20.1949696+01:00
8,TrialITI,2,2024-04-02T15:16:20.1950592+01:00
8,StimOn,1,2024-04-02T15:16:22.2190720+01:00
8,StimOn,0,2024-04-02T15:16:23.2118272+01:00
8,PictureID,2,2024-04-02T15:16:23.2120064+01:00
8,TrialITI,2,2024-04-02T15:16:23.2121088+01:00
8,StimOn,1,2024-04-02T15:16:25.2360960+01:00
8,StimOn,0,2024-04-02T15:16:26.2288512+01:00
8,PictureID,0,2024-04-02T15:16:26.2290304+01:00
8,TrialITI,1.6,2024-04-02T15:16:26.2291328+01:00
8,StimOn,1,2024-04-02T15:16:27.8532224+01:00
8,StimOn,0,2024-04-02T15:16:28.8458624+01:00
8,PictureID,9,2024-04-02T15:16:28.8460544+01:00
8,TrialITI,1.3,2024-04-02T15:16:28.8461440+01:00
8,StimOn,1,2024-04-02T15:16:30.1535360+01:00
8,StimOn,0,2024-04-02T15:16:31.1461504+01:00
9,PictureID,5,2024-04-02T15:16:31.1465216+01:00
9,TrialITI,2,2024-04-02T15:16:31.1466112+01:00
9,StimOn,1,2024-04-02T15:16:33.1706752+01:00
9,StimOn,0,2024-04-02T15:16:34.1631744+01:00
9,PictureID,8,2024-04-02T15:16:34.1633408+01:00
9,TrialITI,1.8,2024-04-02T15:16:34.1634304+01:00
9,StimOn,1,2024-04-02T15:16:35.9878656+01:00
9,StimOn,0,2024-04-02T15:16:36.9801984+01:00
9,PictureID,4,2024-04-02T15:16:36.9803904+01:00
9,TrialITI,1.1,2024-04-02T15:16:36.9804800+01:00
9,StimOn,1,2024-04-02T15:16:38.0882560+01:00
9,StimOn,0,2024-04-02T15:16:39.0804608+01:00
9,PictureID,6,2024-04-02T15:16:39.0806528+01:00
9,TrialITI,1.3,2024-04-02T15:16:39.0807296+01:00
9,StimOn,1,2024-04-02T15:16:40.3894272+01:00
9,StimOn,0,2024-04-02T15:16:41.3807488+01:00
9,PictureID,1,2024-04-02T15:16:41.3816704+01:00
9,TrialITI,1.9,2024-04-02T15:16:41.3817472+01:00
9,StimOn,1,2024-04-02T15:16:43.3066240+01:00
9,StimOn,0,2024-04-02T15:16:44.2977792+01:00
9,PictureID,3,2024-04-02T15:16:44.2979712+01:00
9,TrialITI,1.7,2024-04-02T15:16:44.2980480+01:00
9,StimOn,1,2024-04-02T15:16:46.0236544+01:00
9,StimOn,0,2024-04-02T15:16:47.0147968+01:00
9,PictureID,7,2024-04-02T15:16:47.0150272+01:00
9,TrialITI,1.7,2024-04-02T15:16:47.0151168+01:00
9,StimOn,1,2024-04-02T15:16:48.7406976+01:00
9,StimOn,0,2024-04-02T15:16:49.7317888+01:00
9,PictureID,0,2024-04-02T15:16:49.7319808+01:00
9,TrialITI,2,2024-04-02T15:16:49.7320704+01:00
9,StimOn,1,2024-04-02T15:16:51.7579264+01:00
9,StimOn,0,2024-04-02T15:16:52.7488384+01:00
9,PictureID,9,2024-04-02T15:16:52.7490176+01:00
9,TrialITI,2,2024-04-02T15:16:52.7491072+01:00
9,StimOn,1,2024-04-02T15:16:54.7751936+01:00
9,StimOn,0,2024-04-02T15:16:55.7658752+01:00
9,PictureID,2,2024-04-02T15:16:55.7660672+01:00
9,TrialITI,1.9,2024-04-02T15:16:55.7661568+01:00
